PartNo,Barcode,Size,Diameter,Width,Description,Cap,Bore,Load,Finish,Offset,Backspace,Bolt Pattern1,Bolt Pattern2,Additional Info,Brand,Style,Discontinued,Special,Length,Width,Height,Gross Weight,MSRP,Price,Qty AL,Qty CA,Qty IN,Qty TX,Qty NC,Qty ON,L Pic,XL Pic
111-2936GM0,886821185221,20X9,20,9,6-135 GM W/YZINC VOR NEMESIS,C111MB-6V,87.1,2400,Gunmetal,0,5,6-135,,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11,39.75,389.51,246.18,19,13,25,0,4,4,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-2936GM18,886821178995,20X9,20,9,6-135 GM W/YZINC VOR NEMESIS,C111MB-6V,87.1,2400,Gunmetal,18,5.7,6-135,,Yellow Zinc Bolts,VIS-VOR,111,No,No,22.5,22.5,11.25,39.25,389.51,246.18,10,13,25,0,4,6,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-2936MB0,886821185283,20X9,20,9,6-135 MB W/YZINC VOR NEMESIS,C111MB-6V,87.1,2400,Matte Black,0,5,6-135,,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11,39.75,389.51,246.18,39,0,60,0,0,0,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-2936MB18,886821179091,20X9,20,9,6-135 MB W/YZINC VOR NEMESIS,C111MB-6V,87.1,2400,Matte Black,18,5.7,6-135,,Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11,39.1,389.51,246.18,32,40,7,3,8,4,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-2936MF0,886821185337,20X9,20,9,6-135 MBMF W/YZINC VOR NEMESIS,C111MB-6V,87.1,2400,Matte Black Machined Face,0,5,6-135,,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,22.5,22.5,11.25,40,397.14,250.85,13,1,12,0,8,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-2950GM18,886821179008,20X9,20,9,5-150 GM W/YZINC VOR NEMESIS,C111MB-5V,110.2,2400,Gunmetal,18,5.7,5-150,,Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,8.5,38,389.51,246.18,11,35,26,12,8,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-2950MB18,886821179107,20X9,20,9,5-150 MB W/YZINC VOR NEMESIS,C111MB-5V,110.2,2400,Matte Black,18,5.7,5-150,,Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,8.5,38,389.51,246.18,3,52,27,0,8,0,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-2950MF18,886821178834,20X9,20,9,5-150 MBMF/YZINC VOR NEMESIS,C111MB-5V,110.2,2400,Matte Black Machined Face,18,5.7,5-150,,Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,8.5,38,397.14,250.85,0,24,0,3,4,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-2970GM10,886821179046,20X9,20,9,8-170 GM W/YZINC VOR NEMESIS,C111MB-8V,125.2,3650,Gunmetal,10,5.37,8-170,,Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,8.5,37,389.51,246.18,0,18,36,0,8,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-2970MB10,886821170333,20X9,20,9,8-170 MB W/YZINC VOR NEMESIS,C111MB-8V,125.2,3650,Matte Black,10,5.37,8-170,,Yellow Zinc Bolts,VIS-VOR,111,No,No,22.5,22.5,11.25,40.75,389.51,246.18,33,19,2,0,8,0,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
